Arabize,Arabic
ba2olek,بقولك
barra,برا
gambak,جنبك
gambik,جنبك
e7na,إحنا
7obbi,حبي
alf,ألف
mabrook,مبروك
2areeb,قريب
delwa2ti,دلوقتي
domoo3,دموع
gedan,جداً
donia,دنيا
ro7i,روحي
2oltlak,قلتلك
sotak,صوتك
ba3tezer,بعتذر
saba7,صباح
3esh2,عشق
3alaya,عليا
2amar,قمر
masa2,مساء
7abibti,حبيبتي
7obena,حبنا
7ekaya,حكاية
7aga,حاجة
erga3li,ارجعلي
gowa,جوا
7elwaya,حلوة
7ad,حد
7abibi,حبيبي
ghayeb,غايب
7agat,حاجات
howa,هو
ba7lambeek,بحلم بيك
2olly,قولي
kollena,كلنا
shaw2,شوق
ya2alb,يا قلب
wa3dak,وعدك
2albak,قلبك
7obik,حبك
fou2,فوق
weyaak,وياك
salam,سلام
2albik,قلبك
2olt,قلت
rabena,ربنا
weyaki,وياكي
gamil,جميل
heya,هي
2olhom,قلهم
7asesik,حاسسك
ab,اب
ba7kilek,بحكيلك
efta7,افتح
ba7kilik,بحكيلك
bye,بي
7ayaty,حياتي
kalamha,كلامها
feek,فيك
ba7r,بحر
da7ketak,ضحكتك
koll,كل
e7kily,احكيلي
nadini,ناديني
zekra,ذكرى
ba3sha2ak,بعشقك
ba2alhom,بقالهم
nogoom,نجوم
mehtag,محتاج
sebhom,سيبهم
kalamo,كلامه
a3z,أعز
gawaz,جواز
ansaki,أنساكي
zekrayat,ذكريات
mazelt,مازلت
la7za,لحظة
sotha,صوتها
setat,ستات
gamed,جامد
awy,أوي
ba2alha,بقالها
ayamhom,أيامهم
zekrayatak,ذكرياتك
dam3etak,دمعتك
ba3sha2o,بعشقه
tawila,طويلة
sellem,سلم
la7zat,لحظات
sawtaha,صوتها
wala,ولا
she2,شيء
ba2ali,بقالي
to7fa,تحفة
dam3ethom,دمعتهم
tal2,طلق
fekratha,فكرتها
mehtagek,محتاجك
ba2alo,بقاله
enti,انتي
aw2at,أوقات
daiman,دايماً
set,ست
mawakef,مواقف
3esh2ena,عشقنا
kawkab,كوكب
3ash2ak,عشقك
ragel,راجل
ba2alik,بقالك
estanna,استنى
khales,خالص
enta,انت
fadda,فضة
motgawza,متجوزة
estanni,استني
riwaya,رواية
maady,ماضي
saniya,ثانية
sawte,صوتي
sebny,سيبني
mazal,مازال
asela,أصيلة
sawtohom,صوتهم
seboh,سيبه
fannan,فنان
omal,أمال
mafroud,مفروض
masha3er,مشاعر
mehtagak,محتاجك
moog,موج
dahabi,ذهبي
ghaliyaa,غالية
aghnya,أغنية
masi,ماسي
ba7awel,بحاول
ansak,أنساك
tal2a,طلقة
nadata,نادت
mehtagaha,محتاجها
helw,حلو
fekretik,فكرتك
mazalet,مازالت
aghani,أغاني
motgawez,متجوز
qessa,قصة
mashhad,مشهد
7ekayetna,حكايتنا
feddy,فضي
da2aye2,دقائق
masibsh,ماسيبش
enzel,انزل
mazyka,مزيكا
fer2a,فرقة
salamat,سلامات
da2i2a,دقيقة
dem3a,دمعة
mehtagohom,محتاجهم
msafra,مسافرة
kefaya,كفاية
3arees,عريس
tawil,طويل
e3raf,اعرف
asaleh,أصالة
gamda,جامدة
ayamna,أيامنا
mosta2bel,مستقبل
naharda,النهاردة
sitt,ست
ghalya,غالية
mehtaga,محتاجة
3ash2i,عشقي
fora2,فراق
nagma,نجمة
da7ka,ضحكة
khotoba,خطوبة
zekrayatna,ذكرياتنا
mosika,موسيقى
3arousa,عروسة
fannana,فنانة
mehtagik,محتاجك
ma,ما
3andi,عندي
aseel,أصيل
lo2lo2,لؤلؤ
riwayat,روايات
fekretak,فكرتك
naseem,نسيم
ghayranin,غيرانين
ba3d,بعد
bokra,بكرة
sahab,سحاب
ba3sha2ik,بعشقك
kfaya,كفاية
zaffa,زفة
ma7boob,محبوب
kbeera,كبيره
yemeen,يمين
aman,امان
far7a,فرحه
kareema,كريمه
meksouf,مكسوف
ab3ad,ابعد
gheera,غيره
maktob,مكتوب
metwasela,متواصلة
seta,ستة
mesta3gel,مستعجل
qaswa,قسوة
mesta7mel,مستحمل
ro2yak,رؤياك
mehtar,محتار
gdeed,جديد
mahrooma,محرومة
gedida,جديدة
motfaael,متفائل
mesalya,مثالية
3azeem,عظيم
same7a,سامحة
motakassera,متكسرة
baty2,بطيء
sade2a,صادقة
ganb,جنب
sade2,صادق
mesta7mela,مستحملة
ta2eb,تائب
khasran,خسران
ghame2,غامق
mosharef,مشرف
mot2alleq,متألق
raye2,رايق
motfa2ela,متفائلة
bare2a,بريئة
dawer,دوّر
day3a,ضايعة
mota2allem,متألم
raha,راحة
motwaffer,متوفر
motara,مضطرة
mo3gaba,معجبة
shidda,شدة
sa7eb,صاحب
ghadara,غدارة
montaheya,منتهية
mo7awalat,محاولات
negma,نجمة
motma2en,مطمئن
zahe2,زاهق
wad7,واضح
mobakkera,مبكرة
baty2a,بطيئة
shoogh,شوق
atshana,عطشانة
qawy,قوي
molhema,ملهمة
qasya,قاسية
mot2alleqa,متألقة
gheeran,غيران
saree3,سريع
magzooba,مجذوبة
rasa2el,رسائل
mosera,مصرة
marghooba,مرغوبة
mashghool,مشغول
garee2,جريء
saree7,صريح
motafare2,متفرق
tamaman,تماماً
nadmana,ندمانة
sa23a,ساقعة
demagh,دماغ
magroo7,مجروح
3azema,عزيمة
ta2deer,تقدير
ekhteyarat,اختيارات
matlooba,مطلوبة
magzoub,مجذوب
nag7a,ناجحة
ghar2ana,غرقانة
arba3a,أربعة
mashghoola,مشغولة
mashwar,مشوار
mabsooteen,مبسوطين
ma2boola,مقبولة
mahroom,محروم
ga3an,جعان
motdarer,متضرر
esrar,إصرار
ta2reeban,تقريباً
metfara7a,متفرحة
montazer,منتظر
garee2a,جريئة
a2al,أقل
demagha,دماغها
gad3an,جدعان
wad7a,واضحة
milyar,مليار
fosool,فصول
marghoob,مرغوب
mateen,متين
wa2e3ya,واقعية
lama3an,لامعان
momayez,مميز
moghamara,مغامرة
negm,نجم
motwaffera,متوفرة
ghadr,غدر
soghayara,صغيرة
talata,ثلاثة
mo7awala,محاولة
mohtaram,محترم
qaweya,قوية
gdeeda,جديدة
saf7at,صفحات
hazima,هزيمة
sed2,صدق
lame3,لامع
qararat,قرارات
hamra,حمراء
khamsa,خمسة
geeh,جيه
mesaly,مثالي
ba7esa,باحثة
mot2akhra,متأخرة
sha3reya,شعرية
dayye2a,ضيقة
khasrana,خسرانة
ta3bana,تعبانة
ghadab,غضب
akhbar,أخبار
bare2,بريء
mot7ayera,متحيرة
a2wa,أقوى
wake3y,واقعي
ma2booda,مقبوضة
lahfa,لهفة
ghar2an,غرقان
ray2a,رايقة
ta7ady,تحدي
motawa2e3,متوقع
saree3a,سريعة
motwade3a,متواضعة
asoola,أصولة
hazeem,هزيم
khadra2,خضراء
mota2allema,متألمة
metwasel,متواصل
ta7adyat,تحديات
ta2deerha,تقديرها
montazera,منتظرة
sobat,ثبات
magroo7a,مجروحة
taree2,طريق
sa7eba,صاحبة
khayna,خاينة
adabya,أدبية
mohtarama,محترمة
motafare2a,متفرقة
ta2eba,تائبة
ghena2y,غنائي
manazer,مناظر
mo2assera,مؤثرة
mosharefa,مشرفة
motamayza,متميزة
maktooba,مكتوبة
nehayet,نهاية
thabet,ثابت
saree7a,صريحة
sa7ya,صحية
motra,مطرة
motrya,مطرية
gad3a,جدعة
momayazat,مميزات
mot2alek,متألق
motma2ena,مطمئنة
mota3alek,متعلق
ba7es,باحث
ghena2,غناء
morsel,مرسل
fekry,فكري
mestaghrab,مستغرب
sa2ya,ساقية
bahga,بهجة
mot2alla2a,متألقة
dawera,دايرة
ray2an,رايقان
mashhoora,مشهورة
ma2bool,مقبول
motdarera,متضررة
mo3gib,معجب
ma2bood,مقبوض
mehtara,محتارة
omniya,أمنية
la7n,لحن
motafaa2ela,متفائلة
soghayar,صغير
mota2akeda,متأكدة
albaha,قلبها
ahdaf,أهداف
ghamed,غامض
mersa,مرسى
molhem,ملهم
neheya,نهاية
motawake3a,متوقعة
mo2asser,مؤثر
telt,تلت
tamanya,تمانية
motwade3,متواضع
nojoomeya,نجومية
ghamda,غامضة
ghalba,غلبة
mot3eb,متعب
ba3eedan,بعيداً
toro2,طرق
mokhlesa,مخلصة
ekhlas,إخلاص
ghalaba,غلابة
mot2alema,متألمة
morsela,مرسلة
mota2aked,متأكد
matrooka,متروكة
ghaleb,غالب
banafsegy,بنفسجي
merta7a,مرتاحة
oddam,قدام
noss,نص
moghamarat,مغامرات
mosta7ela,مستحيلة
gheerana,غيرانة
adeema,قديمة
3ashara,عشرة
fany,فني
badee3a,بديعة
metkassar,متكسر
3atshan,عطشان
motsha2ema,متشائمة
a2rab,أقرب
asl,أصل
bedaya,بداية
tawba,توبة
bahgaty,بهجتي
motsha2em,متشائم
makhfya,مخفية
ro2yaha,رؤياها
b3eed,بعيد
zakry,زكري
7abeeby,حبيبي
3einak,عينك
ma3aki,معاكي
albik,البك
7oby,حبي
ba7ebak,بحبك
teslam,تسلم
7abeby,حبيبي
ma3aya,معايه
nourik,نورك
ba3eed,بعيد
3einek,عينك
zahra,زهره
kolly,كلي
kalema,كلمة
tesbah,تصبح
kheir,خير
aghla,أغلى
nas,ناس
erga3,ارجع
2albi,قلبي
ba2olek,بقولك
barra,برا
gambak,جنبك
gambik,جنبك
e7na,إحنا
7obbi,حبي
alf,ألف
mabrook,مبروك
2areeb,قريب
delwa2ti,دلوقتي
domoo3,دموع
gedan,جداً
donia,دنيا
ro7i,روحي
2oltlak,قلتلك
sotak,صوتك
ba3tezer,بعتذر
saba7,صباح
3esh2,عشق
3alaya,عليا
2amar,قمر
masa2,مساء
7abibti,حبيبتي
7obena,حبنا
7ekaya,حكاية
7aga,حاجة
erga3li,ارجعلي
gowa,جوا
7elwaya,حلوة
7ad,حد
7abibi,حبيبي
ghayeb,غايب
7agat,حاجات
howa,هو
ba7lambeek,بحلم بيك
2olly,قولي
kollena,كلنا
shaw2,شوق
ya2alb,يا قلب
wa3dak,وعدك
2albak,قلبك
7obik,حبك
fou2,فوق
weyaak,وياك
salam,سلام
2albik,قلبك
2olt,قلت
rabena,ربنا
weyaki,وياكي
gamil,جميل
heya,هي
2olhom,قلهم
7asesik,حاسسك
ab,اب
ba7kilek,بحكيلك
efta7,افتح
ba7kilik,بحكيلك
bye,بي
7ayaty,حياتي
kalamha,كلامها
feek,فيك
ba7r,بحر
da7ketak,ضحكتك
koll,كل
e7kily,احكيلي
nadini,ناديني
zekra,ذكرى
ba3sha2ak,بعشقك
ba2alhom,بقالهم
nogoom,نجوم
mehtag,محتاج
sebhom,سيبهم
kalamo,كلامه
a3z,أعز
gawaz,جواز
ansaki,أنساكي
zekrayat,ذكريات
mazelt,مازلت
la7za,لحظة
sotha,صوتها
setat,ستات
gamed,جامد
awy,أوي
ba2alha,بقالها
ayamhom,أيامهم
zekrayatak,ذكرياتك
dam3etak,دمعتك
ba3sha2o,بعشقه
tawila,طويلة
sellem,سلم
la7zat,لحظات
sawtaha,صوتها
wala,ولا
she2,شيء
ba2ali,بقالي
to7fa,تحفة
dam3ethom,دمعتهم
tal2,طلق
fekratha,فكرتها
mehtagek,محتاجك
ba2alo,بقاله
enti,انتي
aw2at,أوقات
daiman,دايماً
set,ست
mawakef,مواقف
3esh2ena,عشقنا
kawkab,كوكب
3ash2ak,عشقك
ragel,راجل
ba2alik,بقالك
estanna,استنى
khales,خالص
enta,انت
fadda,فضة
motgawza,متجوزة
estanni,استني
riwaya,رواية
maady,ماضي
saniya,ثانية
sawte,صوتي
sebny,سيبني
mazal,مازال
asela,أصيلة
sawtohom,صوتهم
seboh,سيبه
fannan,فنان
omal,أمال
mafroud,مفروض
masha3er,مشاعر
mehtagak,محتاجك
moog,موج
dahabi,ذهبي
ghaliyaa,غالية
aghnya,أغنية
masi,ماسي
ba7awel,بحاول
ansak,أنساك
tal2a,طلقة
nadata,نادت
mehtagaha,محتاجها
helw,حلو
fekretik,فكرتك
mazalet,مازالت
aghani,أغاني
motgawez,متجوز
qessa,قصة
mashhad,مشهد
7ekayetna,حكايتنا
feddy,فضي
da2aye2,دقائق
masibsh,ماسيبش
enzel,انزل
mazyka,مزيكا
fer2a,فرقة
salamat,سلامات
da2i2a,دقيقة
dem3a,دمعة
mehtagohom,محتاجهم
msafra,مسافرة
kefaya,كفاية
3arees,عريس
tawil,طويل
e3raf,اعرف
asaleh,أصالة
gamda,جامدة
ayamna,أيامنا
mosta2bel,مستقبل
naharda,النهاردة
sitt,ست
ghalya,غالية
mehtaga,محتاجة
3ash2i,عشقي
fora2,فراق
nagma,نجمة
da7ka,ضحكة
khotoba,خطوبة
zekrayatna,ذكرياتنا
mosika,موسيقى
3arousa,عروسة
fannana,فنانة
mehtagik,محتاجك
ma,ما
3andi,عندي
aseel,أصيل
lo2lo2,لؤلؤ
riwayat,روايات
fekretak,فكرتك
naseem,نسيم
ghayranin,غيرانين
ba3d,بعد
bokra,بكرة
sahab,سحاب
ba3sha2ik,بعشقك
kfaya,كفاية
zaffa,زفة
ma7boob,محبوب
kbeera,كبيره
yemeen,يمين
aman,امان
far7a,فرحه
kareema,كريمه
meksouf,مكسوف
ab3ad,ابعد
gheera,غيره
maktob,مكتوب
metwasela,متواصلة
seta,ستة
mesta3gel,مستعجل
qaswa,قسوة
mesta7mel,مستحمل
ro2yak,رؤياك
mehtar,محتار
gdeed,جديد
mahrooma,محرومة
gedida,جديدة
motfaael,متفائل
mesalya,مثالية
3azeem,عظيم
same7a,سامحة
motakassera,متكسرة
baty2,بطيء
sade2a,صادقة
ganb,جنب
sade2,صادق
mesta7mela,مستحملة
ta2eb,تائب
khasran,خسران
ghame2,غامق
mosharef,مشرف
mot2alleq,متألق
raye2,رايق
motfa2ela,متفائلة
bare2a,بريئة
dawer,دوّر
day3a,ضايعة
mota2allem,متألم
raha,راحة
motwaffer,متوفر
motara,مضطرة
mo3gaba,معجبة
shidda,شدة
sa7eb,صاحب
ghadara,غدارة
montaheya,منتهية
mo7awalat,محاولات
negma,نجمة
motma2en,مطمئن
zahe2,زاهق
wad7,واضح
mobakkera,مبكرة
baty2a,بطيئة
shoogh,شوق
atshana,عطشانة
qawy,قوي
molhema,ملهمة
qasya,قاسية
mot2alleqa,متألقة
gheeran,غيران
saree3,سريع
magzooba,مجذوبة
rasa2el,رسائل
mosera,مصرة
marghooba,مرغوبة
mashghool,مشغول
garee2,جريء
saree7,صريح
motafare2,متفرق
tamaman,تماماً
nadmana,ندمانة
sa23a,ساقعة
demagh,دماغ
magroo7,مجروح
3azema,عزيمة
ta2deer,تقدير
ekhteyarat,اختيارات
matlooba,مطلوبة
magzoub,مجذوب
nag7a,ناجحة
ghar2ana,غرقانة
arba3a,أربعة
mashghoola,مشغولة
mashwar,مشوار
mabsooteen,مبسوطين
ma2boola,مقبولة
mahroom,محروم
ga3an,جعان
motdarer,متضرر
esrar,إصرار
ta2reeban,تقريباً
metfara7a,متفرحة
montazer,منتظر
garee2a,جريئة
a2al,أقل
demagha,دماغها
gad3an,جدعان
wad7a,واضحة
milyar,مليار
fosool,فصول
marghoob,مرغوب
mateen,متين
wa2e3ya,واقعية
lama3an,لامعان
momayez,مميز
moghamara,مغامرة
negm,نجم
motwaffera,متوفرة
ghadr,غدر
soghayara,صغيرة
talata,ثلاثة
mo7awala,محاولة
mohtaram,محترم
qaweya,قوية
gdeeda,جديدة
saf7at,صفحات
hazima,هزيمة
sed2,صدق
lame3,لامع
qararat,قرارات
hamra,حمراء
khamsa,خمسة
geeh,جيه
mesaly,مثالي
ba7esa,باحثة
mot2akhra,متأخرة
sha3reya,شعرية
dayye2a,ضيقة
khasrana,خسرانة
ta3bana,تعبانة
ghadab,غضب
akhbar,أخبار
bare2,بريء
mot7ayera,متحيرة
a2wa,أقوى
wake3y,واقعي
ma2booda,مقبوضة
lahfa,لهفة
ghar2an,غرقان
ray2a,رايقة
ta7ady,تحدي
motawa2e3,متوقع
saree3a,سريعة
motwade3a,متواضعة
asoola,أصولة
hazeem,هزيم
khadra2,خضراء
mota2allema,متألمة
metwasel,متواصل
ta7adyat,تحديات
ta2deerha,تقديرها
montazera,منتظرة
sobat,ثبات
magroo7a,مجروحة
taree2,طريق
sa7eba,صاحبة
khayna,خاينة
adabya,أدبية
mohtarama,محترمة
motafare2a,متفرقة
ta2eba,تائبة
ghena2y,غنائي
manazer,مناظر
mo2assera,مؤثرة
mosharefa,مشرفة
motamayza,متميزة
maktooba,مكتوبة
nehayet,نهاية
thabet,ثابت
saree7a,صريحة
sa7ya,صحية
motra,مطرة
motrya,مطرية
gad3a,جدعة
momayazat,مميزات
mot2alek,متألق
motma2ena,مطمئنة
mota3alek,متعلق
ba7es,باحث
ghena2,غناء
morsel,مرسل
fekry,فكري
mestaghrab,مستغرب
sa2ya,ساقية
bahga,بهجة
mot2alla2a,متألقة
dawera,دايرة
ray2an,رايقان
mashhoora,مشهورة
ma2bool,مقبول
motdarera,متضررة
mo3gib,معجب
ma2bood,مقبوض
mehtara,محتارة
omniya,أمنية
la7n,لحن
motafaa2ela,متفائلة
soghayar,صغير
mota2akeda,متأكدة
albaha,قلبها
ahdaf,أهداف
ghamed,غامض
mersa,مرسى
molhem,ملهم
neheya,نهاية
motawake3a,متوقعة
mo2asser,مؤثر
telt,تلت
tamanya,تمانية
motwade3,متواضع
nojoomeya,نجومية
ghamda,غامضة
ghalba,غلبة
mot3eb,متعب
ba3eedan,بعيداً
toro2,طرق
mokhlesa,مخلصة
ekhlas,إخلاص
ghalaba,غلابة
mot2alema,متألمة
morsela,مرسلة
mota2aked,متأكد
matrooka,متروكة
ghaleb,غالب
banafsegy,بنفسجي
merta7a,مرتاحة
oddam,قدام
noss,نص
moghamarat,مغامرات
mosta7ela,مستحيلة
gheerana,غيرانة
adeema,قديمة
3ashara,عشرة
fany,فني
badee3a,بديعة
metkassar,متكسر
3atshan,عطشان
motsha2ema,متشائمة
a2rab,أقرب
asl,أصل
bedaya,بداية
tawba,توبة
bahgaty,بهجتي
motsha2em,متشائم
makhfya,مخفية
ro2yaha,رؤياها
b3eed,بعيد
zakry,زكري
7abeeby,حبيبي
3einak,عينك
ma3aki,معاكي
albik,البك
7oby,حبي
ba7ebak,بحبك
teslam,تسلم
7abeby,حبيبي
ma3aya,معايه
nourik,نورك
ba3eed,بعيد
3einek,عينك
zahra,زهره
kolly,كلي
kalema,كلمة
tesbah,تصبح
kheir,خير
aghla,أغلى
nas,ناس
erga3,ارجع
2albi,قلبي
ba2olek,بقولك
barra,برا
gambak,جنبك
gambik,جنبك
e7na,إحنا
7obbi,حبي
alf,ألف
mabrook,مبروك
2areeb,قريب
delwa2ti,دلوقتي
domoo3,دموع
gedan,جداً
donia,دنيا
ro7i,روحي
2oltlak,قلتلك
sotak,صوتك
ba3tezer,بعتذر
saba7,صباح
3esh2,عشق
3alaya,عليا
2amar,قمر
masa2,مساء
7abibti,حبيبتي
7obena,حبنا
7ekaya,حكاية
7aga,حاجة
erga3li,ارجعلي
gowa,جوا
7elwaya,حلوة
7ad,حد
7abibi,حبيبي
ghayeb,غايب
7agat,حاجات
howa,هو
ba7lambeek,بحلم بيك
2olly,قولي
kollena,كلنا
shaw2,شوق
ya2alb,يا قلب
wa3dak,وعدك
2albak,قلبك
7obik,حبك
fou2,فوق
weyaak,وياك
salam,سلام
2albik,قلبك
2olt,قلت
rabena,ربنا
weyaki,وياكي
gamil,جميل
heya,هي
2olhom,قلهم
7asesik,حاسسك
ab,اب
ba7kilek,بحكيلك
efta7,افتح
ba7kilik,بحكيلك
bye,بي
7ayaty,حياتي
kalamha,كلامها
feek,فيك
ba7r,بحر
da7ketak,ضحكتك
koll,كل
e7kily,احكيلي
nadini,ناديني
zekra,ذكرى
ba3sha2ak,بعشقك
ba2alhom,بقالهم
nogoom,نجوم
mehtag,محتاج
sebhom,سيبهم
kalamo,كلامه
a3z,أعز
gawaz,جواز
ansaki,أنساكي
zekrayat,ذكريات
mazelt,مازلت
la7za,لحظة
sotha,صوتها
setat,ستات
gamed,جامد
awy,أوي
ba2alha,بقالها
ayamhom,أيامهم
zekrayatak,ذكرياتك
dam3etak,دمعتك
ba3sha2o,بعشقه
tawila,طويلة
sellem,سلم
la7zat,لحظات
sawtaha,صوتها
wala,ولا
she2,شيء
ba2ali,بقالي
to7fa,تحفة
dam3ethom,دمعتهم
tal2,طلق
fekratha,فكرتها
mehtagek,محتاجك
ba2alo,بقاله
enti,انتي
aw2at,أوقات
daiman,دايماً
set,ست
mawakef,مواقف
3esh2ena,عشقنا
kawkab,كوكب
3ash2ak,عشقك
ragel,راجل
ba2alik,بقالك
estanna,استنى
khales,خالص
enta,انت
fadda,فضة
motgawza,متجوزة
estanni,استني
riwaya,رواية
maady,ماضي
saniya,ثانية
sawte,صوتي
sebny,سيبني
mazal,مازال
asela,أصيلة
sawtohom,صوتهم
seboh,سيبه
fannan,فنان
omal,أمال
mafroud,مفروض
masha3er,مشاعر
mehtagak,محتاجك
moog,موج
dahabi,ذهبي
ghaliyaa,غالية
aghnya,أغنية
masi,ماسي
ba7awel,بحاول
ansak,أنساك
tal2a,طلقة
nadata,نادت
mehtagaha,محتاجها
helw,حلو
fekretik,فكرتك
mazalet,مازالت
aghani,أغاني
motgawez,متجوز
qessa,قصة
mashhad,مشهد
7ekayetna,حكايتنا
feddy,فضي
da2aye2,دقائق
masibsh,ماسيبش
enzel,انزل
mazyka,مزيكا
fer2a,فرقة
salamat,سلامات
da2i2a,دقيقة
dem3a,دمعة
mehtagohom,محتاجهم
msafra,مسافرة
kefaya,كفاية
3arees,عريس
tawil,طويل
e3raf,اعرف
asaleh,أصالة
gamda,جامدة
ayamna,أيامنا
mosta2bel,مستقبل
naharda,النهاردة
sitt,ست
ghalya,غالية
mehtaga,محتاجة
3ash2i,عشقي
fora2,فراق
nagma,نجمة
da7ka,ضحكة
khotoba,خطوبة
zekrayatna,ذكرياتنا
mosika,موسيقى
3arousa,عروسة
fannana,فنانة
mehtagik,محتاجك
ma,ما
3andi,عندي
aseel,أصيل
lo2lo2,لؤلؤ
riwayat,روايات
fekretak,فكرتك
naseem,نسيم
ghayranin,غيرانين
ba3d,بعد
bokra,بكرة
sahab,سحاب
ba3sha2ik,بعشقك
kfaya,كفاية
zaffa,زفة
ma7boob,محبوب
kbeera,كبيره
yemeen,يمين
aman,امان
far7a,فرحه
kareema,كريمه
meksouf,مكسوف
ab3ad,ابعد
gheera,غيره
maktob,مكتوب
metwasela,متواصلة
seta,ستة
mesta3gel,مستعجل
qaswa,قسوة
mesta7mel,مستحمل
ro2yak,رؤياك
mehtar,محتار
gdeed,جديد
mahrooma,محرومة
gedida,جديدة
motfaael,متفائل
mesalya,مثالية
3azeem,عظيم
same7a,سامحة
motakassera,متكسرة
baty2,بطيء
sade2a,صادقة
ganb,جنب
sade2,صادق
mesta7mela,مستحملة
ta2eb,تائب
khasran,خسران
ghame2,غامق
mosharef,مشرف
mot2alleq,متألق
raye2,رايق
motfa2ela,متفائلة
bare2a,بريئة
dawer,دوّر
day3a,ضايعة
mota2allem,متألم
raha,راحة
motwaffer,متوفر
motara,مضطرة
mo3gaba,معجبة
shidda,شدة
sa7eb,صاحب
ghadara,غدارة
montaheya,منتهية
mo7awalat,محاولات
negma,نجمة
motma2en,مطمئن
zahe2,زاهق
wad7,واضح
mobakkera,مبكرة
baty2a,بطيئة
shoogh,شوق
atshana,عطشانة
qawy,قوي
molhema,ملهمة
qasya,قاسية
mot2alleqa,متألقة
gheeran,غيران
saree3,سريع
magzooba,مجذوبة
rasa2el,رسائل
mosera,مصرة
marghooba,مرغوبة
mashghool,مشغول
garee2,جريء
saree7,صريح
motafare2,متفرق
tamaman,تماماً
nadmana,ندمانة
sa23a,ساقعة
demagh,دماغ
magroo7,مجروح
3azema,عزيمة
ta2deer,تقدير
ekhteyarat,اختيارات
matlooba,مطلوبة
magzoub,مجذوب
nag7a,ناجحة
ghar2ana,غرقانة
arba3a,أربعة
mashghoola,مشغولة
mashwar,مشوار
mabsooteen,مبسوطين
ma2boola,مقبولة
mahroom,محروم
ga3an,جعان
motdarer,متضرر
esrar,إصرار
ta2reeban,تقريباً
metfara7a,متفرحة
montazer,منتظر
garee2a,جريئة
a2al,أقل
demagha,دماغها
gad3an,جدعان
wad7a,واضحة
milyar,مليار
fosool,فصول
marghoob,مرغوب
mateen,متين
wa2e3ya,واقعية
lama3an,لامعان
momayez,مميز
moghamara,مغامرة
negm,نجم
motwaffera,متوفرة
ghadr,غدر
soghayara,صغيرة
talata,ثلاثة
mo7awala,محاولة
mohtaram,محترم
qaweya,قوية
gdeeda,جديدة
saf7at,صفحات
hazima,هزيمة
sed2,صدق
lame3,لامع
qararat,قرارات
hamra,حمراء
khamsa,خمسة
geeh,جيه
mesaly,مثالي
ba7esa,باحثة
mot2akhra,متأخرة
sha3reya,شعرية
dayye2a,ضيقة
khasrana,خسرانة
ta3bana,تعبانة
ghadab,غضب
akhbar,أخبار
bare2,بريء
mot7ayera,متحيرة
a2wa,أقوى
wake3y,واقعي
ma2booda,مقبوضة
lahfa,لهفة
ghar2an,غرقان
ray2a,رايقة
ta7ady,تحدي
motawa2e3,متوقع
saree3a,سريعة
motwade3a,متواضعة
asoola,أصولة
hazeem,هزيم
khadra2,خضراء
mota2allema,متألمة
metwasel,متواصل
ta7adyat,تحديات
ta2deerha,تقديرها
montazera,منتظرة
sobat,ثبات
magroo7a,مجروحة
taree2,طريق
sa7eba,صاحبة
khayna,خاينة
adabya,أدبية
mohtarama,محترمة
motafare2a,متفرقة
ta2eba,تائبة
ghena2y,غنائي
manazer,مناظر
mo2assera,مؤثرة
mosharefa,مشرفة
motamayza,متميزة
maktooba,مكتوبة
nehayet,نهاية
thabet,ثابت
saree7a,صريحة
sa7ya,صحية
motra,مطرة
motrya,مطرية
gad3a,جدعة
momayazat,مميزات
mot2alek,متألق
motma2ena,مطمئنة
mota3alek,متعلق
ba7es,باحث
ghena2,غناء
morsel,مرسل
fekry,فكري
mestaghrab,مستغرب
sa2ya,ساقية
bahga,بهجة
mot2alla2a,متألقة
dawera,دايرة
ray2an,رايقان
mashhoora,مشهورة
ma2bool,مقبول
motdarera,متضررة
mo3gib,معجب
ma2bood,مقبوض
mehtara,محتارة
omniya,أمنية
la7n,لحن
motafaa2ela,متفائلة
soghayar,صغير
mota2akeda,متأكدة
albaha,قلبها
ahdaf,أهداف
ghamed,غامض
mersa,مرسى
molhem,ملهم
neheya,نهاية
motawake3a,متوقعة
mo2asser,مؤثر
telt,تلت
tamanya,تمانية
motwade3,متواضع
nojoomeya,نجومية
ghamda,غامضة
ghalba,غلبة
mot3eb,متعب
ba3eedan,بعيداً
toro2,طرق
mokhlesa,مخلصة
ekhlas,إخلاص
ghalaba,غلابة
mot2alema,متألمة
morsela,مرسلة
mota2aked,متأكد
matrooka,متروكة
ghaleb,غالب
banafsegy,بنفسجي
merta7a,مرتاحة
oddam,قدام
noss,نص
moghamarat,مغامرات
mosta7ela,مستحيلة
gheerana,غيرانة
adeema,قديمة
3ashara,عشرة
fany,فني
badee3a,بديعة
metkassar,متكسر
3atshan,عطشان
motsha2ema,متشائمة
a2rab,أقرب
asl,أصل
bedaya,بداية
tawba,توبة
bahgaty,بهجتي
motsha2em,متشائم
makhfya,مخفية
ro2yaha,رؤياها
b3eed,بعيد
zakry,زكري
7abeeby,حبيبي
3einak,عينك
ma3aki,معاكي
albik,البك
7oby,حبي
ba7ebak,بحبك
teslam,تسلم
7abeby,حبيبي
ma3aya,معايه
nourik,نورك
ba3eed,بعيد
3einek,عينك
zahra,زهره
kolly,كلي
kalema,كلمة
tesbah,تصبح
kheir,خير
aghla,أغلى
nas,ناس
erga3,ارجع
2albi,قلبي
ba2olek,بقولك
